data_type,coda_method,scenario,window,rmse,mae,correlation,max_deviation,n_valid
acceleration,rautian,noise_small,pre_event,7.462389597008374,3.567414070991196,0.7351311046599971,23.324959976425337,20
acceleration,rautian,noise_small,p_wave,0.14471401955461316,0.11356664874626539,0.999871952561074,0.2713871303840327,20
acceleration,rautian,noise_small,s_wave,0.7080020505001218,0.5781398819126857,-0.9930656296679019,1.2639982899962496,20
acceleration,rautian,noise_small,coda,0.009009421915654025,0.006579729775081015,0.9978282598208461,0.021839876993041435,20
acceleration,rautian,noise_medium,pre_event,7.470785536834624,3.5607510883967164,0.6858009491002931,23.348171771208616,20
acceleration,rautian,noise_medium,p_wave,0.13564800824286888,0.1082010117140791,0.9999502847310604,0.25032351614121495,20
acceleration,rautian,noise_medium,s_wave,0.3807413818287532,0.32572276968118014,-0.9873390646966599,0.6234847737800234,20
acceleration,rautian,noise_medium,coda,0.28979287645867197,0.24390068177219862,-0.9960610082219749,0.5000730371080334,20
acceleration,rautian,noise_large,pre_event,7.4796216521361,3.5796813497022293,0.7139879503954469,23.36601471797505,20
acceleration,rautian,noise_large,p_wave,0.7339085610281947,0.5989177628616364,0.9997598926422515,1.3051384928389118,20
acceleration,rautian,noise_large,s_wave,1.2389496873107784,1.0306918599589832,-0.9988261265019092,2.1434725361196985,20
acceleration,rautian,noise_large,coda,0.1861637406528408,0.15268761629075367,-0.9996984353799259,0.33377531822755147,20
acceleration,rautian,bias_early,pre_event,7.551800230650819,3.656503421197025,0.7087205245143583,23.53063113998239,20
acceleration,rautian,bias_early,p_wave,0.19943480383325538,0.18334918827244717,0.9999087523560951,0.30763672645100915,20
acceleration,rautian,bias_early,s_wave,0.7146376445268123,0.5941762740781649,-0.9967066014587439,1.249000355703838,20
acceleration,rautian,bias_early,coda,0.2016717558466769,0.1617397740455373,-0.997310371727746,0.36758334887408517,20
acceleration,rautian,bias_late,pre_event,7.71352555234978,3.8378228154031517,-0.683942100365589,23.891612745801716,20
acceleration,rautian,bias_late,p_wave,0.22488781037023867,0.1936204130136958,0.9999752672517283,0.38441364804913025,20
acceleration,rautian,bias_late,s_wave,0.21132499208075267,0.17820538447097226,0.934949789118342,0.3587319393358179,20
acceleration,rautian,bias_late,coda,0.27018833145791127,0.22201326419533135,-0.99880712525518,0.47566670724988813,20
acceleration,arias,noise_small,pre_event,7.462389597008374,3.567414070991196,0.7351311046599971,23.324959976425337,20
acceleration,arias,noise_small,p_wave,0.14471401955461316,0.11356664874626539,0.999871952561074,0.2713871303840327,20
acceleration,arias,noise_small,s_wave,0.9622998323299172,0.7866103785691986,-0.990011592825428,1.7396816952102765,20
acceleration,arias,noise_small,coda,0.2657897341493878,0.21532904192939992,-0.9555305485495815,0.4787458219081449,20
acceleration,arias,noise_medium,pre_event,7.470785536834624,3.5607510883967164,0.6858009491002931,23.348171771208616,20
acceleration,arias,noise_medium,p_wave,0.13564800824286888,0.1082010117140791,0.9999502847310604,0.25032351614121495,20
acceleration,arias,noise_medium,s_wave,0.43895826586146564,0.36767003485066735,-0.9706070626827131,0.7644577705960974,20
acceleration,arias,noise_medium,coda,0.5089110115091386,0.4266324158101555,-0.997627304633062,0.8799837648931141,20
acceleration,arias,noise_large,pre_event,7.4796216521361,3.5796813497022293,0.7139879503954469,23.36601471797505,20
acceleration,arias,noise_large,p_wave,0.7339085610281947,0.5989177628616364,0.9997598926422515,1.3051384928389118,20
acceleration,arias,noise_large,s_wave,1.3908998551183696,1.1560713515323875,-0.9826744830039065,2.4270850016930345,20
acceleration,arias,noise_large,coda,0.4524343156647971,0.37672201819235496,0.9994366464794459,0.7826659741564426,20
acceleration,arias,bias_early,pre_event,7.551800230650819,3.656503421197025,0.7087205245143583,23.53063113998239,20
acceleration,arias,bias_early,p_wave,0.19943480383325538,0.18334918827244717,0.9999087523560951,0.30763672645100915,20
acceleration,arias,bias_early,s_wave,1.1227370570094826,0.9338376135073364,-0.9840758108109424,1.9814107828703162,20
